Country,Clicks,Impressions,CTR,Position
Argentina,33,457,7.22%,5.49
United States,6,69,8.7%,6.94
Canada,2,11,18.18%,7
Brazil,1,8,12.5%,8.12
Thailand,1,1,100%,3
France,0,17,0%,4.53
Uruguay,0,13,0%,5.77
Israel,0,13,0%,10.38
United Kingdom,0,9,0%,7.78
Netherlands,0,7,0%,6.14
Spain,0,5,0%,3
Germany,0,4,0%,6.5
Mexico,0,4,0%,6.75
India,0,2,0%,1.5
Poland,0,2,0%,1.5
Italy,0,2,0%,5
Australia,0,2,0%,7.5
Colombia,0,2,0%,11.5
Sweden,0,1,0%,1
Vietnam,0,1,0%,1
Guatemala,0,1,0%,2
Japan,0,1,0%,2
Portugal,0,1,0%,2
Bahrain,0,1,0%,3
Switzerland,0,1,0%,3
China,0,1,0%,3
Iraq,0,1,0%,3
Morocco,0,1,0%,3
Russia,0,1,0%,3
South Korea,0,1,0%,4
Peru,0,1,0%,4
Bangladesh,0,1,0%,5
Greece,0,1,0%,5
Pakistan,0,1,0%,6
Paraguay,0,1,0%,9
Czechia,0,1,0%,13
Panama,0,1,0%,19